transaction_id,customer_id,product_id,amount,quantity,transaction_date,channel
T04888,C0128,P025,561.5,5,2021-01-01,Mobile
T06260,C0022,P051,579.69,9,2021-01-01,Online
T06351,C0406,P069,956.6,4,2021-01-01,Offline
T05696,C0044,P057,200.61,4,2021-01-01,Offline
T06145,C0139,P045,1273.02,5,2021-01-01,Mobile
T05379,C0029,P086,911.81,2,2021-01-01,Offline
T05371,C0495,P051,448.62,5,2021-01-01,Online
T01754,C0288,P037,2035.33,10,2021-01-01,Online
T02931,C0076,P061,376.33,10,2021-01-01,Offline
T04244,C0138,P092,165.86,10,2021-01-02,Offline
T05606,C0065,P093,1342.76,2,2021-01-02,Offline
T00343,C0171,P062,948.24,8,2021-01-02,Offline
T05500,C0325,P097,842.45,9,2021-01-03,Mobile
T05292,C0424,P044,614.92,2,2021-01-03,Offline
T07786,C0084,P006,952.54,1,2021-01-03,Online
T07790,C0123,P048,1331.38,5,2021-01-04,Online
T02514,C0099,P066,1193.86,9,2021-01-04,Mobile
T07397,C0092,P004,922.46,1,2021-01-04,Online
T04752,C0282,P008,255.63,5,2021-01-04,Offline
T07697,C0400,P069,582.38,1,2021-01-04,Mobile
T03170,C0270,P038,1374.61,5,2021-01-04,Online
T07804,C0017,P094,473.63,10,2021-01-05,Offline
T01339,C0233,P069,128.81,5,2021-01-05,Mobile
T07776,C0404,P086,882.31,6,2021-01-05,Offline
T00541,C0487,P015,2010.96,8,2021-01-05,Mobile
T04896,C0233,P030,1355.62,3,2021-01-05,Online
T06604,C0064,P071,650.68,5,2021-01-05,Mobile
T00517,C0256,P062,544.36,1,2021-01-06,Mobile
T01430,C0282,P008,319.51,1,2021-01-06,Online
T06690,C0147,P036,1789.99,5,2021-01-06,Offline
T02787,C0464,P042,510.85,6,2021-01-07,Mobile
T05359,C0174,P008,248.65,2,2021-01-07,Online
T07493,C0345,P069,965.91,4,2021-01-07,Offline
T02512,C0180,P055,343.47,10,2021-01-07,Online
T03987,C0336,P069,686.73,8,2021-01-07,Online
T05813,C0277,P014,490.22,4,2021-01-07,Offline
T01387,C0291,P006,2012.23,4,2021-01-08,Online
T04221,C0097,P001,516.67,3,2021-01-08,Mobile
T06568,C0277,P042,1019.55,10,2021-01-08,Mobile
T05642,C0417,P085,1016.37,9,2021-01-08,Offline
T00116,C0219,P005,1034.0,4,2021-01-08,Offline
T01266,C0026,P037,447.22,5,2021-01-08,Online
T00098,C0180,P083,651.84,4,2021-01-08,Offline
T03276,C0151,P098,1485.74,3,2021-01-09,Mobile
T02147,C0339,P037,1062.4,8,2021-01-09,Online
T00441,C0378,P058,1782.27,9,2021-01-09,Online
T04817,C0035,P089,99.06,8,2021-01-09,Online
T07116,C0156,P028,367.68,10,2021-01-09,Online
T00695,C0354,P064,403.4,9,2021-01-09,Online
T00877,C0108,P083,2056.78,2,2021-01-09,Offline
T06749,C0141,P097,1253.08,4,2021-01-09,Mobile
T07203,C0464,P087,481.92,7,2021-01-09,Offline
T06312,C0319,P002,470.46,8,2021-01-10,Mobile
T01789,C0305,P001,2117.56,5,2021-01-10,Offline
T05040,C0195,P074,364.83,9,2021-01-10,Offline
T02792,C0450,P044,585.61,2,2021-01-10,Offline
T01438,C0212,P084,1066.8,6,2021-01-10,Online
T04889,C0326,P063,864.83,8,2021-01-11,Offline
T05496,C0313,P057,450.51,1,2021-01-11,Online
T01208,C0412,P061,2234.58,7,2021-01-11,Mobile
T06465,C0110,P009,1416.42,9,2021-01-12,Online
T00712,C0440,P012,876.57,2,2021-01-12,Online
T07727,C0306,P028,580.33,2,2021-01-12,Offline
T03032,C0054,P093,859.09,1,2021-01-12,Offline
T07275,C0295,P041,1263.39,3,2021-01-12,Online
T03011,C0183,P007,887.79,9,2021-01-12,Offline
T01702,C0191,P087,239.65,1,2021-01-12,Offline
T02357,C0123,P011,1329.91,3,2021-01-13,Offline
T01293,C0081,P056,666.09,1,2021-01-13,Online
T00663,C0188,P032,1392.37,6,2021-01-13,Mobile
T06235,C0267,P010,3174.82,6,2021-01-13,Online
T00957,C0478,P081,623.76,10,2021-01-13,Offline
T03758,C0179,P082,1976.8,9,2021-01-14,Mobile
T00064,C0193,P044,838.85,5,2021-01-14,Mobile
T00157,C0133,P008,863.09,6,2021-01-14,Online
T03983,C0345,P076,937.42,1,2021-01-15,Offline
T00535,C0201,P097,601.04,4,2021-01-15,Offline
T01885,C0249,P049,442.78,3,2021-01-15,Mobile
T00035,C0093,P014,98.23,3,2021-01-15,Online
T02218,C0100,P055,1693.34,6,2021-01-15,Offline
T06077,C0392,P058,1064.99,1,2021-01-16,Online
T07433,C0339,P009,1431.85,3,2021-01-16,Offline
